Date,Open,High,Low,Close,Adj Close,Volume
2021-09-17,468.000000,471.899994,450.350006,454.100006,454.100006,41529478
2021-09-20,449.399994,453.500000,435.649994,437.450012,437.450012,18376916
2021-09-21,440.149994,441.350006,432.649994,438.799988,438.799988,17279588
2021-09-22,438.899994,442.799988,436.100006,438.850006,438.850006,14321143
2021-09-23,442.399994,451.149994,442.049988,449.799988,449.799988,20516770
2021-09-24,451.100006,451.899994,440.000000,440.750000,440.750000,10731274
2021-09-27,444.899994,450.549988,442.250000,446.600006,446.600006,11746892
2021-09-28,449.200012,455.799988,439.600006,444.899994,444.899994,19241170
2021-09-29,441.850006,462.299988,439.100006,460.000000,460.000000,38635938
2021-09-30,459.950012,464.899994,451.399994,453.000000,453.000000,26530369
2021-10-01,448.500000,455.549988,443.799988,451.649994,451.649994,14777309
2021-10-04,453.799988,464.399994,451.600006,463.149994,463.149994,16246765
2021-10-05,462.000000,469.000000,458.700012,464.700012,464.700012,16487568
2021-10-06,465.000000,471.000000,453.649994,457.200012,457.200012,19056690
2021-10-07,462.100006,464.000000,457.100006,457.899994,457.899994,9984651
2021-10-08,461.899994,464.000000,454.250000,458.000000,458.000000,16521128
2021-10-11,460.000000,474.950012,458.649994,469.250000,469.250000,20686981
2021-10-12,470.000000,484.399994,468.100006,483.000000,483.000000,33763609
2021-10-13,486.149994,486.149994,478.000000,481.700012,481.700012,17638983
2021-10-14,482.000000,493.899994,482.000000,490.600006,490.600006,23431826
2021-10-18,494.000000,501.000000,491.700012,497.950012,497.950012,20084248
2021-10-19,500.350006,504.200012,483.250000,488.200012,488.200012,20645100
2021-10-20,488.799988,507.500000,483.100006,499.899994,499.899994,34080545
2021-10-21,504.899994,506.500000,491.750000,502.950012,502.950012,20808243
2021-10-22,504.600006,508.700012,500.000000,502.950012,502.950012,24080485
2021-10-25,506.500000,515.450012,497.850006,506.500000,506.500000,35619415
2021-10-26,507.600006,518.200012,507.600006,512.549988,512.549988,21107457
2021-10-27,513.700012,526.849976,512.750000,519.150024,519.150024,29463032
2021-10-28,519.599976,520.549988,497.600006,501.350006,501.350006,28140401
2021-10-29,501.500000,512.650024,488.399994,502.149994,502.149994,31355893
2021-11-01,508.500000,516.950012,501.000000,515.700012,515.700012,20679604
2021-11-02,514.799988,525.000000,512.049988,521.700012,521.700012,26797820
2021-11-03,524.000000,542.299988,515.200012,527.650024,527.650024,80775924
2021-11-04,531.500000,535.900024,528.049988,530.450012,530.450012,9796046
2021-11-08,534.450012,534.450012,516.450012,523.250000,523.250000,36802110
2021-11-09,526.250000,532.000000,522.200012,529.150024,529.150024,25451967
2021-11-10,525.549988,528.500000,521.500000,524.400024,524.400024,15805538
2021-11-11,522.849976,522.849976,507.100006,509.600006,509.600006,23086898
2021-11-12,512.000000,513.000000,502.700012,511.350006,511.350006,19836221
2021-11-15,512.400024,515.900024,505.500000,506.549988,506.549988,13328183
2021-11-16,507.399994,507.399994,493.500000,495.100006,495.100006,19553216
2021-11-17,493.850006,505.399994,491.000000,498.149994,498.149994,20488483
2021-11-18,499.100006,506.200012,492.299988,503.799988,503.799988,22471070
2021-11-22,506.000000,506.000000,477.500000,486.399994,486.399994,28800269
2021-11-23,485.250000,495.399994,480.000000,493.049988,493.049988,20000371
2021-11-24,495.799988,500.000000,489.049988,493.149994,493.149994,13963769
2021-11-25,490.000000,495.450012,486.299988,490.549988,490.549988,12894211
2021-11-26,486.250000,487.899994,467.100006,470.500000,470.500000,26305817
2021-11-29,470.000000,477.750000,454.299988,465.100006,465.100006,22407465
2021-11-30,468.000000,477.250000,458.000000,460.549988,460.549988,23026652
2021-12-01,464.450012,477.250000,464.000000,475.299988,475.299988,17156956
2021-12-02,474.500000,478.149994,470.950012,477.000000,477.000000,12962679
2021-12-03,475.750000,481.500000,470.049988,473.149994,473.149994,16653993
2021-12-06,473.149994,477.000000,463.799988,465.299988,465.299988,14353300
2021-12-07,469.200012,476.250000,469.200012,476.049988,476.049988,6398614
