ds,Open,High,Low,Close,y,Volume
26-10-2010,230.800003,232.600006,229.100006,230.139999,193.472473,5069720
27-10-2010,230.600006,230.600006,224.039993,225.429993,189.512894,8220330
28-10-2010,225.649994,231.585007,224.100006,226.669998,190.555344,21069230
29-10-2010,228,229.800003,223.699997,227.990005,191.665054,8132430
01-11-2010,229.800003,236.600006,228.505005,234.919998,197.490891,10134800
02-11-2010,236.5,238.699997,234.300003,235.035004,197.587585,5561020
03-11-2010,236.100006,237.190002,235.104996,236.225006,198.587952,3540760
04-11-2010,239,240.5,236.755005,238.919998,200.853577,4858160
08-11-2010,239.339996,240,232.544998,233.539993,196.330765,4255460
09-11-2010,234,240.679993,233.035004,239.850006,201.635437,6858050
10-11-2010,240,241.979996,238.335007,239.585007,201.412643,4467170
11-11-2010,238.509995,240.940002,233.625,235.330002,197.835541,3364370
12-11-2010,234.5,237.899994,230.5,231.490005,194.607376,6201550
15-11-2010,231.5,239.199997,231.399994,238.585007,200.57193,11407980
16-11-2010,239.970001,239.970001,232.5,237.259995,199.458069,9149670
18-11-2010,241.899994,241.899994,231.875,234.035004,196.746887,8315990
19-11-2010,234.5,236.399994,229.199997,230.360001,193.657425,5876340
22-11-2010,232.100006,239.095001,230.600006,237.990005,200.071777,5510950
23-11-2010,236.5,238,230.744995,237.179993,199.390808,5708120
24-11-2010,235.399994,237.389999,228.994995,231.139999,194.313141,4128750
25-11-2010,232.5,235.869995,229.225006,232.304993,195.292526,11343870
26-11-2010,232.600006,234,227.600006,229.789993,193.178238,7569690
29-11-2010,230,231.789993,228.5,229.789993,193.178238,5909430
30-11-2010,229.699997,233.404999,225.850006,228.539993,192.12738,8626780
01-12-2010,228.854996,237.5,228,236.705002,198.991501,8040720
02-12-2010,237.800003,240,235.309998,239.175003,201.067963,7369280
03-12-2010,239.5,240,237.199997,239.565002,201.395828,3961790
06-12-2010,242,242.5,237.524994,238.324997,200.353363,4681560
07-12-2010,238,239,232.850006,235.164993,197.696854,8597350
08-12-2010,234,234,226.520004,228.044998,191.711273,11744220
09-12-2010,227.315002,228.440002,221.929993,223.199997,187.638199,18283920
10-12-2010,220,223.225006,217.029999,222.235001,186.82695,20621230
13-12-2010,224.300003,224.5,218.139999,223.899994,188.226669,7911680
14-12-2010,224.699997,227.589996,221.199997,223.824997,188.163635,5922080
15-12-2010,223,223,215,216.289993,181.829147,11210210
16-12-2010,216.300003,221.960007,215,220.080002,185.015305,9759180
20-12-2010,219.979996,219.979996,215.145004,217.25,182.6362,5161220
21-12-2010,217.300003,221.904999,217.190002,221.410004,186.133408,6175580
22-12-2010,223.300003,224,217.005005,217.880005,183.165817,7503240
23-12-2010,218,220.399994,217.395004,219.095001,184.187241,3263270
24-12-2010,218.899994,222.475006,217.5,221.839996,186.494873,3516710
27-12-2010,221.899994,223,219.710007,221.369995,186.099762,3770630
28-12-2010,222.389999,226.869995,221.514999,225.615005,189.668442,4675030
29-12-2010,225.600006,233.679993,225.354996,232.779999,195.691833,8071040
30-12-2010,233.619995,234.339996,228.804993,230.550003,193.817154,7252350
31-12-2010,230.5,236.5,229.205002,234.634995,197.251282,8248910
03-01-2011,237,239.964996,235.039993,239.050003,200.962875,5398390
04-01-2011,238.649994,238.800003,233.300003,234.554993,197.184052,8284130
05-01-2011,234.970001,234.970001,229.75,230.820007,194.044159,7825920
06-01-2011,231.600006,234.264999,230.899994,232.774994,195.687622,5435090
07-01-2011,232.619995,232.619995,226.100006,226.945007,190.78653,7948010
10-01-2011,225.604996,227,213.800003,215.225006,180.933838,20070860
11-01-2011,217,221.869995,212.5,214.660004,180.458832,12157590
12-01-2011,216.899994,221.399994,210.660004,220.529999,185.3936,9905330
13-01-2011,220.899994,221.740005,212.639999,214.300003,180.156219,9486010
14-01-2011,215,220.800003,203,204.955002,172.300125,12791410
17-01-2011,206,209.300003,205.054993,206.809998,173.859558,12280820
18-01-2011,208.679993,211.600006,204.664993,210.934998,177.327362,8420160
19-01-2011,211.164993,211.404999,206.300003,207.544998,174.477448,8992050
20-01-2011,206.925003,213.440002,204.589996,211.755005,178.016708,9638540
21-01-2011,210.399994,212.470001,207.610001,209.414993,176.049515,8297610
24-01-2011,209.5,215.399994,207.300003,214.860001,180.626968,12774160
25-01-2011,215.119995,217.485001,207.009995,208.429993,175.221466,14110540
27-01-2011,210,210,204.100006,205.089996,172.413605,18945580
28-01-2011,205.5,208.934998,204.205002,205.425003,172.695251,17798420
31-01-2011,204.270004,206.345001,199.619995,204.729996,172.110977,11118030
01-02-2011,207.690002,207.690002,201.509995,203.960007,171.463654,8551230
02-02-2011,205.149994,206.350006,200.619995,201.990005,169.807526,9762170
03-02-2011,202,207.175003,201,206.095001,173.258484,5796030
04-02-2011,205.100006,208.5,200.5,201.774994,169.626801,9253200
07-02-2011,204.5,206,202.020004,203.884995,171.400604,8559460
08-02-2011,205.990005,205.994995,198.509995,200.285004,168.374191,7195990
09-02-2011,199.800003,203.5,198.139999,202.229996,170.009277,7357580
10-02-2011,201.600006,204.899994,200,201.585007,169.467072,11535590
11-02-2011,199.5,206,199.5,205.929993,173.119751,10103420
14-02-2011,205.014999,211.020004,205.014999,210.544998,176.999466,5922360
15-02-2011,211,212.800003,207.529999,210.699997,177.129761,7599730
16-02-2011,211.399994,212.199997,208.505005,209.485001,176.108368,4550790
17-02-2011,210,219.399994,209.5,218.559998,183.737457,11804920
18-02-2011,218.399994,224.309998,216.524994,217.610001,182.938843,19767870
21-02-2011,216.5,220.800003,213.25,220.169998,185.090973,5600510
22-02-2011,219,219.169998,212.539993,213.845001,179.773712,5796430
23-02-2011,212.520004,215.300003,210.020004,211.410004,177.726669,6114220
24-02-2011,208.699997,211.854996,204.574997,205.910004,173.102966,10027770
25-02-2011,208.699997,208.699997,201.800003,204.214996,171.678024,6309960
28-02-2011,206.399994,212.095001,203.5,205.225006,172.527115,10981360
01-03-2011,207.479996,215,205.899994,213.899994,179.819931,10250580
03-03-2011,213.490005,222.229996,213.005005,219.315002,184.372192,12668820
04-03-2011,221,223.289993,220.649994,221.824997,186.482269,9854940
07-03-2011,220.399994,220.399994,215.089996,217.315002,182.690842,6427840
08-03-2011,215.800003,221.850006,215.649994,220.649994,185.494476,8985570
09-03-2011,221,223.869995,219.5,220.604996,185.456665,9041990
10-03-2011,219.199997,221.5,218.235001,220.839996,185.654221,7470310
11-03-2011,218.205002,221.699997,217.5,218.634995,183.800552,6553950
14-03-2011,217.199997,221.899994,217.199997,221.475006,186.188049,6541440
15-03-2011,217,220.770004,213,218.464996,183.657608,13801000
16-03-2011,219.600006,220.5,217.860001,218.375,183.581924,5805340
17-03-2011,217.020004,223.300003,216.615005,218.149994,183.392807,16760620
18-03-2011,218,219.619995,214.210007,214.929993,180.685837,4822120
21-03-2011,217.020004,217.869995,214.645004,215.445007,181.118805,6159350
22-03-2011,215.910004,217.300003,214.205002,215.160004,180.879196,4715270
23-03-2011,215,218.190002,214.505005,216.419998,181.938431,4657350
24-03-2011,217.899994,219.889999,216.850006,219.279999,184.342773,4413810
25-03-2011,220.699997,227.5,220,226.505005,190.416641,8901480
28-03-2011,226.5,231.199997,226.5,229.675003,193.081543,10930310
29-03-2011,231,232.380005,228.464996,230.514999,193.787735,10818300
30-03-2011,231.5,236.399994,230.600006,234.149994,196.843567,11097420
31-03-2011,235,239.589996,230.509995,234.585007,197.209259,18931910
01-04-2011,235.300003,236.5,232.300003,233.375,196.192032,4369290
04-04-2011,234,240.5,234,240.080002,201.828766,6322270
05-04-2011,240,240.994995,236.815002,239.574997,201.404236,8412660
06-04-2011,239.100006,239.5,235.100006,237.595001,199.73967,6469860
07-04-2011,237.5,237.800003,233.960007,235.475006,197.957489,6558160
08-04-2011,235.399994,238.5,234.509995,235.240005,197.759918,7720170
11-04-2011,232.520004,233.755005,228.860001,229.604996,193.02272,11208180
